iter	Passed	Remaining
640	1198	671
641	1200	669
642	1202	667
643	1204	665
644	1206	663
645	1207	661
646	1209	660
647	1212	658
648	1214	656
649	1217	655
650	1220	654
651	1223	652
652	1225	651
653	1228	650
654	1231	648
655	1233	646
656	1235	645
657	1237	643
658	1240	641
659	1242	640
660	1246	639
661	1249	638
662	1252	636
663	1254	634
664	1256	632
665	1258	631
666	1261	629
667	1264	628
668	1266	626
669	1269	625
670	1272	623
671	1274	622
672	1276	620
673	1279	618
674	1281	616
675	1283	615
676	1286	613
677	1287	611
678	1289	609
679	1291	607
680	1293	605
681	1295	603
682	1297	601
683	1298	599
684	1300	598
685	1302	596
686	1304	594
687	1306	592
688	1307	590
689	1309	588
690	1311	586
691	1313	584
692	1315	582
693	1316	580
694	1318	578
695	1320	576
696	1322	574
697	1325	573
698	1327	571
699	1329	569
700	1331	567
701	1333	565
702	1334	563
703	1336	561
704	1338	560
705	1340	558
706	1341	556
707	1343	554
708	1345	552
709	1347	550
710	1348	548
711	1350	546
712	1352	544
713	1354	542
714	1356	540
715	1358	538
716	1359	536
717	1361	534
718	1363	533
719	1366	531
720	1368	529
721	1370	527
722	1372	525
723	1373	523
724	1375	521
725	1377	519
726	1379	518
727	1381	516
728	1383	514
729	1384	512
730	1386	510
731	1388	508
732	1390	506
733	1392	504
734	1394	502
735	1395	500
736	1397	498
737	1399	496
738	1401	494
739	1403	493
740	1404	491
741	1406	489
742	1408	487
743	1410	485
744	1412	483
745	1413	481
746	1415	479
747	1417	477
748	1419	475
749	1421	473
750	1422	471
751	1424	469
752	1426	467
753	1428	466
754	1430	464
755	1432	462
756	1433	460
757	1435	458
758	1437	456
759	1438	454
760	1440	452
761	1442	450
762	1444	448
763	1446	446
764	1448	444
765	1450	442
766	1451	441
767	1453	439
768	1455	437
769	1457	435
770	1459	433
771	1461	431
772	1463	429
773	1465	427
774	1467	425
775	1468	423
776	1470	422
777	1472	420
778	1474	418
779	1476	416
780	1478	414
781	1480	412
782	1481	410
783	1483	408
784	1485	406
785	1487	404
786	1489	403
787	1491	401
788	1493	399
789	1494	397
790	1496	395
791	1498	393
792	1500	391
793	1502	389
794	1503	387
795	1505	385
796	1507	384
797	1509	382
798	1511	380
799	1513	378
800	1514	376
801	1516	374
802	1518	372
803	1520	370
804	1521	368
805	1523	366
806	1525	364
807	1526	362
808	1528	360
809	1530	359
810	1532	357
811	1534	355
812	1535	353
813	1537	351
814	1539	349
815	1541	347
816	1543	345
817	1544	343
818	1546	341
819	1548	339
820	1550	338
821	1552	336
822	1554	334
823	1555	332
824	1557	330
825	1559	328
826	1561	326
827	1563	324
828	1565	322
829	1567	320
830	1568	319
831	1571	317
832	1574	315
833	1576	313
834	1578	311
835	1580	310
836	1583	308
837	1585	306
838	1586	304
839	1588	302
840	1590	300
841	1592	298
842	1594	296
843	1596	295
844	1598	293
845	1599	291
846	1601	289
847	1603	287
848	1605	285
849	1606	283
850	1608	281
851	1610	279
852	1612	277
853	1614	276
854	1616	274
855	1618	272
856	1619	270
857	1621	268
858	1623	266
859	1625	264
860	1627	262
861	1628	260
862	1630	258
863	1632	256
864	1633	255
865	1635	253
866	1637	251
867	1639	249
868	1641	247
869	1643	245
870	1645	243
871	1646	241
872	1648	239
873	1650	237
874	1651	235
875	1653	234
876	1655	232
877	1656	230
878	1659	228
879	1661	226
880	1663	224
881	1665	222
882	1667	220
883	1669	219
884	1670	217
885	1672	215
886	1675	213
887	1677	211
888	1679	209
889	1681	207
890	1684	206
891	1686	204
892	1689	202
893	1692	200
894	1695	198
895	1698	197
896	1703	195
897	1708	194
898	1710	192
899	1713	190
900	1716	188
901	1718	186
902	1720	184
903	1724	183
904	1727	181
905	1729	179
906	1732	177
907	1736	175
908	1739	174
909	1741	172
910	1744	170
911	1746	168
912	1748	166
913	1750	164
914	1752	162
915	1755	160
916	1757	159
917	1760	157
918	1763	155
919	1767	153
920	1770	151
921	1777	150
922	1780	148
923	1782	146
924	1785	144
925	1787	142
926	1790	140
927	1793	139
928	1797	137
929	1800	135
930	1805	133
931	1809	132
932	1812	130
933	1818	128
934	1822	126
935	1827	124
936	1830	123
937	1833	121
938	1837	119
939	1839	117
940	1842	115
941	1847	113
942	1851	111
943	1853	109
944	1856	108
945	1859	106
946	1862	104
947	1866	102
948	1869	100
949	1872	98
950	1875	96
951	1877	94
952	1880	92
953	1882	90
954	1886	88
955	1889	86
956	1892	85
957	1894	83
958	1896	81
959	1899	79
960	1903	77
961	1906	75
962	1909	73
963	1912	71
964	1915	69
965	1931	67
966	1935	66
967	1937	64
968	1940	62
969	1942	60
970	1944	58
971	1946	56
972	1948	54
973	1950	52
974	1952	50
975	1955	48
976	1957	46
977	1959	44
978	1960	42
979	1962	40
980	1964	38
981	1966	36
982	1968	34
983	1971	32
984	1972	30
985	1975	28
986	1977	26
987	1979	24
988	1981	22
989	1983	20
990	1985	18
991	1987	16
992	1989	14
993	1991	12
994	1993	10
995	1995	8
996	1997	6
997	1998	4
998	2000	2
999	2002	0
